Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol,Anomalie_ISO,Anomalie_DBSCAN,Anomalie_Final
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,Etihad Airways,4518.0,EY4518,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,EVA Air,3300.0,BR3300,1,0,1
2025-03-15,2,Shanghai Pudong International,PVG,18,Shenzhen,SZX,7,SF Airlines,7203.0,O37203,1,0,1
2025-03-15,2,Shanghai Pudong International,PVG,11,Beijing Capital International,PEK,0,SF Airlines,7201.0,O37201,1,0,1
2025-03-15,2,Wuxi,WUX,53,Shenzhen,SZX,32,SF Airlines,6840.0,O36840,-1,0,1
2025-03-15,2,Auckland International,AKL,24,Rotorua,ROT,7,Air China LTD,5962.0,CA5962,1,0,1
2025-03-15,2,Auckland International,AKL,24,Rotorua,ROT,7,Etihad Airways,4483.0,EY4483,1,0,1
2025-03-15,2,Auckland International,AKL,24,Rotorua,ROT,7,Singapore Airlines,4418.0,SQ4418,1,0,1
2025-03-15,2,Auckland International,AKL,24,Rotorua,ROT,7,Air New Zealand,5151.0,NZ5151,1,0,1
2025-03-15,2,Beijing Capital International,PEK,15,Hangzhou,HGH,0,SF Airlines,7119.0,O37119,1,0,1
2025-03-15,2,Bandar Seri Begwan International Airport,BWN,6,Soekarno-Hatta International,CGK,0,Royal Brunei Airlines,737.0,BI737,1,0,1
2025-03-15,2,Perth International,PER,7,Melbourne - Tullamarine Airport,MEL,0,Jetstar,971.0,JQ971,1,0,1
2025-03-15,2,Queenstown,ZQN,9,Auckland International,AKL,0,EVA Air,3232.0,BR3232,1,0,1
2025-03-15,2,Queenstown,ZQN,9,Auckland International,AKL,0,Etihad Airways,4523.0,EY4523,1,0,1
2025-03-15,2,Queenstown,ZQN,9,Auckland International,AKL,0,ANA,7977.0,NH7977,1,0,1
2025-03-15,2,Queenstown,ZQN,9,Auckland International,AKL,0,Singapore Airlines,4457.0,SQ4457,1,0,1
2025-03-15,2,Queenstown,ZQN,9,Auckland International,AKL,0,Turkish Airlines,8726.0,TK8726,1,0,1
2025-03-15,2,Queenstown,ZQN,9,Auckland International,AKL,0,Air New Zealand,638.0,NZ638,1,0,1
2025-03-15,2,Dunedin International,DUD,5,Wellington International,WLG,0,Etihad Airways,4620.0,EY4620,1,0,1
2025-03-15,2,Dunedin International,DUD,5,Wellington International,WLG,0,Qantas,8571.0,QF8571,1,0,1
2025-03-15,2,Dunedin International,DUD,5,Wellington International,WLG,0,Air New Zealand,5680.0,NZ5680,1,0,1
2025-03-15,2,Lohegaon,PNQ,4,Hyderabad Airport,HYD,0,IndiGo,336.0,6E336,1,0,1
